text,pos,neg
classy,1.0,0.0
clean,1.0,0.0
cleaner,1.0,0.0
cleanest,1.0,0.0
cleanliness,1.0,0.0
cleanly,1.0,0.0
clear,1.0,0.0
clearcut,1.0,0.0
cleared,1.0,0.0
clearer,1.0,0.0
clearly,1.0,0.0
clears,1.0,0.0
clever,1.0,0.0
cleverly,1.0,0.0
cohere,1.0,0.0
coherence,1.0,0.0
coherent,1.0,0.0
cohesive,1.0,0.0
colorful,1.0,0.0
comely,1.0,0.0
comfort,1.0,0.0
comfortable,1.0,0.0
comfortably,1.0,0.0
comforting,1.0,0.0
comfy,1.0,0.0
commend,1.0,0.0
commendable,1.0,0.0
commendably,1.0,0.0
commitment,1.0,0.0
commodious,1.0,0.0
compact,1.0,0.0
compactly,1.0,0.0
compassion,1.0,0.0
compassionate,1.0,0.0
compatible,1.0,0.0
competitive,1.0,0.0
complement,1.0,0.0
complementary,1.0,0.0
complemented,1.0,0.0
complements,1.0,0.0
compliant,1.0,0.0
compliment,1.0,0.0
complimentary,1.0,0.0
comprehensive,1.0,0.0
conciliate,1.0,0.0
conciliatory,1.0,0.0
concise,1.0,0.0
confidence,1.0,0.0
confident,1.0,0.0
congenial,1.0,0.0
congratulate,1.0,0.0
congratulation,1.0,0.0
congratulations,1.0,0.0
congratulatory,1.0,0.0
conscientious,1.0,0.0
considerate,1.0,0.0
consistent,1.0,0.0
consistently,1.0,0.0
constructive,1.0,0.0
consummate,1.0,0.0
contentment,1.0,0.0
continuity,1.0,0.0
contrasty,1.0,0.0
contribution,1.0,0.0
convenience,1.0,0.0
convenient,1.0,0.0
conveniently,1.0,0.0
convience,1.0,0.0
convienient,1.0,0.0
convient,1.0,0.0
convincing,1.0,0.0
convincingly,1.0,0.0
cool,1.0,0.0
coolest,1.0,0.0
cooperative,1.0,0.0
cooperatively,1.0,0.0
cornerstone,1.0,0.0
correct,1.0,0.0
correctly,1.0,0.0
costeffective,1.0,0.0
costsaving,1.0,0.0
counterattack,1.0,0.0
counterattacks,1.0,0.0
courage,1.0,0.0
courageous,1.0,0.0
courageously,1.0,0.0
courageousness,1.0,0.0
courteous,1.0,0.0
courtly,1.0,0.0
covenant,1.0,0.0
cozy,1.0,0.0
creative,1.0,0.0
credence,1.0,0.0
credible,1.0,0.0
crisp,1.0,0.0
crisper,1.0,0.0
cure,1.0,0.0
cureall,1.0,0.0
cushy,1.0,0.0
cute,1.0,0.0
cuteness,1.0,0.0
danke,1.0,0.0
danken,1.0,0.0
daring,1.0,0.0
daringly,1.0,0.0
darling,1.0,0.0
dashing,1.0,0.0
dauntless,1.0,0.0
dawn,1.0,0.0
dazzle,1.0,0.0
dazzled,1.0,0.0
dazzling,1.0,0.0
deadcheap,1.0,0.0
deadon,1.0,0.0
decency,1.0,0.0
decent,1.0,0.0
decisive,1.0,0.0
decisiveness,1.0,0.0
dedicated,1.0,0.0
defeat,1.0,0.0
defeated,1.0,0.0
defeating,1.0,0.0
defeats,1.0,0.0
defender,1.0,0.0
deference,1.0,0.0
deft,1.0,0.0
deginified,1.0,0.0
delectable,1.0,0.0
delicacy,1.0,0.0
delicate,1.0,0.0
delicious,1.0,0.0
delight,1.0,0.0
delighted,1.0,0.0
delightful,1.0,0.0
delightfully,1.0,0.0
delightfulness,1.0,0.0
dependable,1.0,0.0
dependably,1.0,0.0
deservedly,1.0,0.0
deserving,1.0,0.0
desirable,1.0,0.0
desiring,1.0,0.0
desirous,1.0,0.0
destiny,1.0,0.0
detachable,1.0,0.0
devout,1.0,0.0
dexterous,1.0,0.0
dexterously,1.0,0.0
dextrous,1.0,0.0
dignified,1.0,0.0
dignify,1.0,0.0
dignity,1.0,0.0
diligence,1.0,0.0
diligent,1.0,0.0
diligently,1.0,0.0
diplomatic,1.0,0.0
dirtcheap,1.0,0.0
distinction,1.0,0.0
distinctive,1.0,0.0
distinguished,1.0,0.0
diversified,1.0,0.0
divine,1.0,0.0
divinely,1.0,0.0
dominate,1.0,0.0
dominated,1.0,0.0
dominates,1.0,0.0
dote,1.0,0.0
dotingly,1.0,0.0
doubtless,1.0,0.0
dreamland,1.0,0.0
dumbfounded,1.0,0.0
dumbfounding,1.0,0.0
dummyproof,1.0,0.0
durable,1.0,0.0
dynamic,1.0,0.0
eager,1.0,0.0
eagerly,1.0,0.0
eagerness,1.0,0.0
earnest,1.0,0.0
earnestly,1.0,0.0
earnestness,1.0,0.0
ease,1.0,0.0
eased,1.0,0.0
eases,1.0,0.0
easier,1.0,0.0
easiest,1.0,0.0
easiness,1.0,0.0
easing,1.0,0.0
easy,1.0,0.0
easytouse,1.0,0.0
easygoing,1.0,0.0
ebullience,1.0,0.0
ebullient,1.0,0.0
ebulliently,1.0,0.0
ecenomical,1.0,0.0
economical,1.0,0.0
ecstasies,1.0,0.0
ecstasy,1.0,0.0
ecstatic,1.0,0.0
ecstatically,1.0,0.0
edify,1.0,0.0
educated,1.0,0.0
effective,1.0,0.0
effectively,1.0,0.0
effectiveness,1.0,0.0
effectual,1.0,0.0
efficacious,1.0,0.0
efficient,1.0,0.0
efficiently,1.0,0.0
effortless,1.0,0.0
effortlessly,1.0,0.0
effusion,1.0,0.0
effusive,1.0,0.0
effusively,1.0,0.0
effusiveness,1.0,0.0
elan,1.0,0.0
elate,1.0,0.0
elated,1.0,0.0
elatedly,1.0,0.0
elation,1.0,0.0
electrify,1.0,0.0
elegance,1.0,0.0
elegant,1.0,0.0
elegantly,1.0,0.0
elevate,1.0,0.0
elite,1.0,0.0
eloquence,1.0,0.0
eloquent,1.0,0.0
eloquently,1.0,0.0
embolden,1.0,0.0
eminence,1.0,0.0
eminent,1.0,0.0
empathize,1.0,0.0
empathy,1.0,0.0
empower,1.0,0.0
empowerment,1.0,0.0
enchant,1.0,0.0
enchanted,1.0,0.0
enchanting,1.0,0.0
enchantingly,1.0,0.0
encourage,1.0,0.0
encouragement,1.0,0.0
encouraging,1.0,0.0
encouragingly,1.0,0.0
endear,1.0,0.0
endearing,1.0,0.0
endorse,1.0,0.0
endorsed,1.0,0.0
endorsement,1.0,0.0
endorses,1.0,0.0
endorsing,1.0,0.0
energetic,1.0,0.0
energize,1.0,0.0
energyefficient,1.0,0.0
energysaving,1.0,0.0
engaging,1.0,0.0
engrossing,1.0,0.0
enhance,1.0,0.0
enhanced,1.0,0.0
enhancement,1.0,0.0
enhances,1.0,0.0
enjoy,1.0,0.0
enjoyable,1.0,0.0
enjoyably,1.0,0.0
enjoyed,1.0,0.0
enjoying,1.0,0.0
enjoyment,1.0,0.0
enjoys,1.0,0.0
enlighten,1.0,0.0
enlightenment,1.0,0.0
enliven,1.0,0.0
ennoble,1.0,0.0
enough,1.0,0.0
enrapt,1.0,0.0
enrapture,1.0,0.0
enraptured,1.0,0.0
enrich,1.0,0.0
enrichment,1.0,0.0
enterprising,1.0,0.0
entertain,1.0,0.0
entertaining,1.0,0.0
entertains,1.0,0.0
enthral,1.0,0.0
enthrall,1.0,0.0
enthralled,1.0,0.0
enthuse,1.0,0.0
enthusiasm,1.0,0.0
enthusiast,1.0,0.0
enthusiastic,1.0,0.0
enthusiastically,1.0,0.0
entice,1.0,0.0
enticed,1.0,0.0
enticing,1.0,0.0
enticingly,1.0,0.0
entranced,1.0,0.0
entrancing,1.0,0.0
entrust,1.0,0.0
enviable,1.0,0.0
enviably,1.0,0.0
envious,1.0,0.0
enviously,1.0,0.0
enviousness,1.0,0.0
envy,1.0,0.0
equitable,1.0,0.0
ergonomical,1.0,0.0
errfree,1.0,0.0
erudite,1.0,0.0
ethical,1.0,0.0
eulogize,1.0,0.0
euphoria,1.0,0.0
euphoric,1.0,0.0
euphorically,1.0,0.0
evaluative,1.0,0.0
evenly,1.0,0.0
eventful,1.0,0.0
everlasting,1.0,0.0
evocative,1.0,0.0
exalt,1.0,0.0
exaltation,1.0,0.0
exalted,1.0,0.0
exaltedly,1.0,0.0
exalting,1.0,0.0
exaltingly,1.0,0.0
examplar,1.0,0.0
examplary,1.0,0.0
excallent,1.0,0.0
exceed,1.0,0.0
exceeded,1.0,0.0
exceeding,1.0,0.0
exceedingly,1.0,0.0
exceeds,1.0,0.0
excel,1.0,0.0
exceled,1.0,0.0
excelent,1.0,0.0
excellant,1.0,0.0
excelled,1.0,0.0
excellence,1.0,0.0
excellency,1.0,0.0
excellent,1.0,0.0
excellently,1.0,0.0
excels,1.0,0.0
exceptional,1.0,0.0
exceptionally,1.0,0.0
excite,1.0,0.0
excited,1.0,0.0
excitedly,1.0,0.0
excitedness,1.0,0.0
excitement,1.0,0.0
excites,1.0,0.0
exciting,1.0,0.0
excitingly,1.0,0.0
exellent,1.0,0.0
exemplar,1.0,0.0
exemplary,1.0,0.0
exhilarate,1.0,0.0
exhilarating,1.0,0.0
exhilaratingly,1.0,0.0
exhilaration,1.0,0.0
exonerate,1.0,0.0
expansive,1.0,0.0
expeditiously,1.0,0.0
expertly,1.0,0.0
exquisite,1.0,0.0
exquisitely,1.0,0.0
extol,1.0,0.0
extoll,1.0,0.0
extraordinarily,1.0,0.0
extraordinary,1.0,0.0
exuberance,1.0,0.0
exuberant,1.0,0.0
exuberantly,1.0,0.0
exult,1.0,0.0
exultant,1.0,0.0
exultation,1.0,0.0
exultingly,1.0,0.0
eyecatch,1.0,0.0
eyecatching,1.0,0.0
fabulous,1.0,0.0
fabulously,1.0,0.0
facilitate,1.0,0.0
fair,1.0,0.0
fairly,1.0,0.0
fairness,1.0,0.0
faith,1.0,0.0
faithful,1.0,0.0
faithfully,1.0,0.0
faithfulness,1.0,0.0
fame,1.0,0.0
famed,1.0,0.0
famous,1.0,0.0
famously,1.0,0.0
fancier,1.0,0.0
fancinating,1.0,0.0
fancy,1.0,0.0
fanfare,1.0,0.0
fans,1.0,0.0
fantastic,1.0,0.0
fantastically,1.0,0.0
fascinate,1.0,0.0
fascinating,1.0,0.0
fascinatingly,1.0,0.0
fascination,1.0,0.0
fashionable,1.0,0.0
fashionably,1.0,0.0
fast,1.0,0.0
fastgrowing,1.0,0.0
fastpaced,1.0,0.0
faster,1.0,0.0
fastest,1.0,0.0
fastestgrowing,1.0,0.0
faultless,1.0,0.0
fav,1.0,0.0
fave,1.0,0.0
favor,1.0,0.0
favorable,1.0,0.0
favored,1.0,0.0
favorite,1.0,0.0
favorited,1.0,0.0
favour,1.0,0.0
fearless,1.0,0.0
fearlessly,1.0,0.0
feasible,1.0,0.0
feasibly,1.0,0.0
feat,1.0,0.0
featurerich,1.0,0.0
fecilitous,1.0,0.0
feisty,1.0,0.0
felicitate,1.0,0.0
felicitous,1.0,0.0
felicity,1.0,0.0
fertile,1.0,0.0
fervent,1.0,0.0
fervently,1.0,0.0
fervid,1.0,0.0
fervidly,1.0,0.0
fervor,1.0,0.0
festive,1.0,0.0
fidelity,1.0,0.0
fiery,1.0,0.0
fine,1.0,0.0
finelooking,1.0,0.0
finely,1.0,0.0
finer,1.0,0.0
finest,1.0,0.0
firmer,1.0,0.0
firstclass,1.0,0.0
firstinclass,1.0,0.0
firstrate,1.0,0.0
flashy,1.0,0.0
flatter,1.0,0.0
flattering,1.0,0.0
flatteringly,1.0,0.0
flawless,1.0,0.0
flawlessly,1.0,0.0
flexibility,1.0,0.0
flexible,1.0,0.0
flourish,1.0,0.0
flourishing,1.0,0.0
fluent,1.0,0.0
flutter,1.0,0.0
fond,1.0,0.0
fondly,1.0,0.0
fondness,1.0,0.0
foolproof,1.0,0.0
foremost,1.0,0.0
foresight,1.0,0.0
formidable,1.0,0.0
fortitude,1.0,0.0
fortuitous,1.0,0.0
fortuitously,1.0,0.0
fortunate,1.0,0.0
fortunately,1.0,0.0
fortune,1.0,0.0
fragrant,1.0,0.0
free,1.0,0.0
freed,1.0,0.0
freedom,1.0,0.0
freedoms,1.0,0.0
fresh,1.0,0.0
fresher,1.0,0.0
freshest,1.0,0.0
friendliness,1.0,0.0
friendly,1.0,0.0
frolic,1.0,0.0
frugal,1.0,0.0
fruitful,1.0,0.0
ftw,1.0,0.0
fulfillment,1.0,0.0
fun,1.0,0.0
futurestic,1.0,0.0
futuristic,1.0,0.0
gaiety,1.0,0.0
gaily,1.0,0.0
gain,1.0,0.0
gained,1.0,0.0
gainful,1.0,0.0
gainfully,1.0,0.0
gaining,1.0,0.0
gains,1.0,0.0
gallant,1.0,0.0
gallantly,1.0,0.0
galore,1.0,0.0
geekier,1.0,0.0
geeky,1.0,0.0
gem,1.0,0.0
gems,1.0,0.0
generosity,1.0,0.0
generous,1.0,0.0
generously,1.0,0.0
genial,1.0,0.0
genius,1.0,0.0
gentle,1.0,0.0
gentlest,1.0,0.0
genuine,1.0,0.0
gifted,1.0,0.0
glad,1.0,0.0
gladden,1.0,0.0
gladly,1.0,0.0
gladness,1.0,0.0
glamorous,1.0,0.0
glee,1.0,0.0
gleeful,1.0,0.0
gleefully,1.0,0.0
glimmer,1.0,0.0
glimmering,1.0,0.0
glisten,1.0,0.0
glistening,1.0,0.0
glitter,1.0,0.0
glitz,1.0,0.0
glorify,1.0,0.0
glorious,1.0,0.0
gloriously,1.0,0.0
glory,1.0,0.0
glow,1.0,0.0
glowing,1.0,0.0
glowingly,1.0,0.0
godgiven,1.0,0.0
godsend,1.0,0.0
godlike,1.0,0.0
gold,1.0,0.0
golden,1.0,0.0
good,1.0,0.0
goodly,1.0,0.0
goodness,1.0,0.0
goodwill,1.0,0.0
goood,1.0,0.0
gooood,1.0,0.0
gorgeous,1.0,0.0
gorgeously,1.0,0.0
grace,1.0,0.0
graceful,1.0,0.0
gracefully,1.0,0.0
gracious,1.0,0.0
graciously,1.0,0.0
graciousness,1.0,0.0
grand,1.0,0.0
grandeur,1.0,0.0
grateful,1.0,0.0
gratefully,1.0,0.0
gratification,1.0,0.0
gratified,1.0,0.0
gratifies,1.0,0.0
gratify,1.0,0.0
gratifying,1.0,0.0
gratifyingly,1.0,0.0
gratitude,1.0,0.0
great,1.0,0.0
greatest,1.0,0.0
greatness,1.0,0.0
grin,1.0,0.0
groundbreaking,1.0,0.0
guarantee,1.0,0.0
guidance,1.0,0.0
guiltless,1.0,0.0
gumption,1.0,0.0
gush,1.0,0.0
gusto,1.0,0.0
gutsy,1.0,0.0
hail,1.0,0.0
halcyon,1.0,0.0
hale,1.0,0.0
hallmark,1.0,0.0
hallmarks,1.0,0.0
hallowed,1.0,0.0
handier,1.0,0.0
handily,1.0,0.0
handsdown,1.0,0.0
handsome,1.0,0.0
handsomely,1.0,0.0
handy,1.0,0.0
happier,1.0,0.0
happily,1.0,0.0
happiness,1.0,0.0
happy,1.0,0.0
hardworking,1.0,0.0
hardier,1.0,0.0
hardy,1.0,0.0
harmless,1.0,0.0
harmonious,1.0,0.0
harmoniously,1.0,0.0
harmonize,1.0,0.0
harmony,1.0,0.0
headway,1.0,0.0
heal,1.0,0.0
healthful,1.0,0.0
healthy,1.0,0.0
hearten,1.0,0.0
heartening,1.0,0.0
heartfelt,1.0,0.0
heartily,1.0,0.0
heartwarming,1.0,0.0
heaven,1.0,0.0
heavenly,1.0,0.0
helped,1.0,0.0
helpful,1.0,0.0
helping,1.0,0.0
hero,1.0,0.0
heroic,1.0,0.0
heroically,1.0,0.0
heroine,1.0,0.0
heroize,1.0,0.0
heros,1.0,0.0
highquality,1.0,0.0
highspirited,1.0,0.0
hilarious,1.0,0.0
holy,1.0,0.0
homage,1.0,0.0
honest,1.0,0.0
honesty,1.0,0.0
honor,1.0,0.0
honorable,1.0,0.0
honored,1.0,0.0
honoring,1.0,0.0
hooray,1.0,0.0
hopeful,1.0,0.0
hospitable,1.0,0.0
hot,1.0,0.0
hotcake,1.0,0.0
hotcakes,1.0,0.0
hottest,1.0,0.0
hug,1.0,0.0
humane,1.0,0.0
humble,1.0,0.0
humility,1.0,0.0
humor,1.0,0.0
humorous,1.0,0.0
humorously,1.0,0.0
humour,1.0,0.0
humourous,1.0,0.0
ideal,1.0,0.0
idealize,1.0,0.0
ideally,1.0,0.0
idol,1.0,0.0
idolize,1.0,0.0
idolized,1.0,0.0
idyllic,1.0,0.0
illuminate,1.0,0.0
illuminati,1.0,0.0
illuminating,1.0,0.0
illumine,1.0,0.0
illustrious,1.0,0.0
ilu,1.0,0.0
imaculate,1.0,0.0
imaginative,1.0,0.0
immaculate,1.0,0.0
immaculately,1.0,0.0
immense,1.0,0.0
impartial,1.0,0.0
impartiality,1.0,0.0
impartially,1.0,0.0
impassioned,1.0,0.0
impeccable,1.0,0.0
impeccably,1.0,0.0
important,1.0,0.0
impress,1.0,0.0
impressed,1.0,0.0
impresses,1.0,0.0
impressive,1.0,0.0
impressively,1.0,0.0
impressiveness,1.0,0.0
improve,1.0,0.0
improved,1.0,0.0
improvement,1.0,0.0
improvements,1.0,0.0
improves,1.0,0.0
improving,1.0,0.0
incredible,1.0,0.0
incredibly,1.0,0.0
indebted,1.0,0.0
individualized,1.0,0.0
indulgence,1.0,0.0
indulgent,1.0,0.0
industrious,1.0,0.0
inestimable,1.0,0.0
inestimably,1.0,0.0
inexpensive,1.0,0.0
infallibility,1.0,0.0
infallible,1.0,0.0
infallibly,1.0,0.0
influential,1.0,0.0
ingenious,1.0,0.0
ingeniously,1.0,0.0
ingenuity,1.0,0.0
ingenuous,1.0,0.0
ingenuously,1.0,0.0
innocuous,1.0,0.0
innovation,1.0,0.0
innovative,1.0,0.0
inpressed,1.0,0.0
insightful,1.0,0.0
insightfully,1.0,0.0
inspiration,1.0,0.0
inspirational,1.0,0.0
inspire,1.0,0.0
inspiring,1.0,0.0
instantly,1.0,0.0
instructive,1.0,0.0
instrumental,1.0,0.0
integral,1.0,0.0
integrated,1.0,0.0
intelligence,1.0,0.0
intelligent,1.0,0.0
intelligible,1.0,0.0
interesting,1.0,0.0
interests,1.0,0.0
intimacy,1.0,0.0
intimate,1.0,0.0
intricate,1.0,0.0
intrigue,1.0,0.0
intriguing,1.0,0.0
intriguingly,1.0,0.0
intuitive,1.0,0.0
invaluable,1.0,0.0
invaluablely,1.0,0.0
inventive,1.0,0.0
invigorate,1.0,0.0
invigorating,1.0,0.0
invincibility,1.0,0.0
invincible,1.0,0.0
inviolable,1.0,0.0
inviolate,1.0,0.0
invulnerable,1.0,0.0
irreplaceable,1.0,0.0
irreproachable,1.0,0.0
irresistible,1.0,0.0
irresistibly,1.0,0.0
issuefree,1.0,0.0
jawdroping,1.0,0.0
jawdropping,1.0,0.0
jollify,1.0,0.0
jolly,1.0,0.0
jovial,1.0,0.0
joy,1.0,0.0
joyful,1.0,0.0
joyfully,1.0,0.0
joyous,1.0,0.0
joyously,1.0,0.0
jubilant,1.0,0.0
jubilantly,1.0,0.0
jubilate,1.0,0.0
jubilation,1.0,0.0
jubiliant,1.0,0.0
judicious,1.0,0.0
justly,1.0,0.0
keen,1.0,0.0
keenly,1.0,0.0
keenness,1.0,0.0
kidfriendly,1.0,0.0
kindliness,1.0,0.0
kindly,1.0,0.0
kindness,1.0,0.0
knowledgeable,1.0,0.0
kudos,1.0,0.0
largecapacity,1.0,0.0
laud,1.0,0.0
laudable,1.0,0.0
laudably,1.0,0.0
lavish,1.0,0.0
lavishly,1.0,0.0
lawabiding,1.0,0.0
lawful,1.0,0.0
lawfully,1.0,0.0
lead,1.0,0.0
leading,1.0,0.0
leads,1.0,0.0
lean,1.0,0.0
led,1.0,0.0
legendary,1.0,0.0
leverage,1.0,0.0
levity,1.0,0.0
liberate,1.0,0.0
liberation,1.0,0.0
liberty,1.0,0.0
lifesaver,1.0,0.0
lighthearted,1.0,0.0
lighter,1.0,0.0
likable,1.0,0.0
like,1.0,0.0
liked,1.0,0.0
likes,1.0,0.0
liking,1.0,0.0
lionhearted,1.0,0.0
lively,1.0,0.0
logical,1.0,0.0
longlasting,1.0,0.0
lovable,1.0,0.0
lovably,1.0,0.0
love,1.0,0.0
loved,1.0,0.0
loveliness,1.0,0.0
lovely,1.0,0.0
lover,1.0,0.0
loves,1.0,0.0
loving,1.0,0.0
lowcost,1.0,0.0
lowprice,1.0,0.0
lowpriced,1.0,0.0
lowrisk,1.0,0.0
lowerpriced,1.0,0.0
loyal,1.0,0.0
loyalty,1.0,0.0
lucid,1.0,0.0
lucidly,1.0,0.0
luck,1.0,0.0
luckier,1.0,0.0
luckiest,1.0,0.0
luckiness,1.0,0.0
lucky,1.0,0.0
lucrative,1.0,0.0
luminous,1.0,0.0
lush,1.0,0.0
luster,1.0,0.0
lustrous,1.0,0.0
luxuriant,1.0,0.0
luxuriate,1.0,0.0
luxurious,1.0,0.0
luxuriously,1.0,0.0
luxury,1.0,0.0
lyrical,1.0,0.0
magic,1.0,0.0
magical,1.0,0.0
magnanimous,1.0,0.0
magnanimously,1.0,0.0
magnificence,1.0,0.0
magnificent,1.0,0.0
magnificently,1.0,0.0
majestic,1.0,0.0
majesty,1.0,0.0
